1,01,1,MAL,MALWA MIL,,0,1,,,0
1,01,1,RAJ,RAJKUMAR BRIDGE,,0.7,2,,,5
1,01,1,BAL,BAL VINAY MANDIR,,1.2,3,,,5
1,01,1,RAI,RAILWAY STATION,,2,4,,,10
1,01,1,SEG,REGAL Squ.,,3.1,5,,,10
1,01,1,PAL,PALIKA PLAZA,,3.7,6,,,10
1,01,1,RAN,RANI PURA,,4.1,7,,,10
1,01,1,SAN,SANJAY SETU,,4.5,8,,,10
1,01,1,JAW,JAWAHAR MARG,,4.9,9,,,10
1,01,1,GAR,GURUDWARA,,5.1,10,,,15
1,01,1,HAR,HARSIDDHI,,5.5,11,,,15
1,01,1,COL,Collector Office,,6.3,12,,,15
1,01,1,GDC,GDC,,6.6,13,,,15
1,01,1,LAL,LAAL BAGH,,7.2,14,,,15
1,01,1,MHO,MHOW NAKA,,7.5,15,,,15
1,01,1,GAN,GANGWAL,,8.4,16,,,15
1,01,1,LAB,LABRIYA BHERU,,8.5,17,,,15
1,01,1,RAM,RAM KRISHN BAGH,,9.1,18,,,15
1,01,1,KIM,KIMTI GARDEN,,9.7,19,,,15
1,01,1,CHA,CHANDAN NAGAR,,10.2,20,,,20
1,01,2,RAJ,RAJKUMAR BRIDGE,,0.7,2,,,0
1,01,2,BAL,BAL VINAY MANDIR,,1.2,3,,,5
1,01,2,RAI,RAILWAY STATION,,2,4,,,5
1,01,2,SEG,REGAL Squ.,,3.1,5,,,10
1,01,2,PAL,PALIKA PLAZA,,3.7,6,,,10
1,01,2,RAN,RANI PURA,,4.1,7,,,10
1,01,2,SAN,SANJAY SETU,,4.5,8,,,10
1,01,2,JAW,JAWAHAR MARG,,4.9,9,,,10
1,01,2,GAR,GURUDWARA,,5.1,10,,,10
1,01,2,HAR,HARSIDDHI,,5.5,11,,,10
1,01,2,COL,Collector Office,,6.3,12,,,15
1,01,2,GDC,GDC,,6.6,13,,,15
1,01,2,LAL,LAAL BAGH,,7.2,14,,,15
1,01,2,MHO,MHOW NAKA,,7.5,15,,,15
1,01,2,GAN,GANGWAL,,8.4,16,,,15
1,01,2,LAB,LABRIYA BHERU,,8.5,17,,,15
1,01,2,RAM,RAM KRISHN BAGH,,9.1,18,,,15
1,01,2,KIM,KIMTI GARDEN,,9.7,19,,,15
1,01,2,CHA,CHANDAN NAGAR,,10.2,20,,,15
1,01,3,BAL,BAL VINAY MANDIR,,1.2,3,,,0
1,01,3,RAI,RAILWAY STATION,,2,4,,,5
1,01,3,SEG,REGAL Squ.,,3.1,5,,,10
1,01,3,PAL,PALIKA PLAZA,,3.7,6,,,10
1,01,3,RAN,RANI PURA,,4.1,7,,,10
1,01,3,SAN,SANJAY SETU,,4.5,8,,,10
1,01,3,JAW,JAWAHAR MARG,,4.9,9,,,10
1,01,3,GAR,GURUDWARA,,5.1,10,,,10
1,01,3,HAR,HARSIDDHI,,5.5,11,,,10
1,01,3,COL,Collector Office,,6.3,12,,,15
1,01,3,GDC,GDC,,6.6,13,,,15
1,01,3,LAL,LAAL BAGH,,7.2,14,,,15
1,01,3,MHO,MHOW NAKA,,7.5,15,,,15
1,01,3,GAN,GANGWAL,,8.4,16,,,15
1,01,3,LAB,LABRIYA BHERU,,8.5,17,,,15
1,01,3,RAM,RAM KRISHN BAGH,,9.1,18,,,15
1,01,3,KIM,KIMTI GARDEN,,9.7,19,,,15
1,01,3,CHA,CHANDAN NAGAR,,10.2,20,,,15
1,01,4,RAI,RAILWAY STATION,,2,4,,,0
1,01,4,SEG,REGAL Squ.,,3.1,5,,,5
1,01,4,PAL,PALIKA PLAZA,,3.7,6,,,10
1,01,4,RAN,RANI PURA,,4.1,7,,,10
1,01,4,SAN,SANJAY SETU,,4.5,8,,,10
1,01,4,JAW,JAWAHAR MARG,,4.9,9,,,10
1,01,4,GAR,GURUDWARA,,5.1,10,,,10
1,01,4,HAR,HARSIDDHI,,5.5,11,,,10
1,01,4,COL,Collector Office,,6.3,12,,,10
1,01,4,GDC,GDC,,6.6,13,,,10
1,01,4,LAL,LAAL BAGH,,7.2,14,,,15
1,01,4,MHO,MHOW NAKA,,7.5,15,,,15
1,01,4,GAN,GANGWAL,,8.4,16,,,15
1,01,4,LAB,LABRIYA BHERU,,8.5,17,,,15
1,01,4,RAM,RAM KRISHN BAGH,,9.1,18,,,15
1,01,4,KIM,KIMTI GARDEN,,9.7,19,,,15
1,01,4,CHA,CHANDAN NAGAR,,10.2,20,,,15
1,01,5,SEG,REGAL Squ.,,3.1,5,,,0
1,01,5,PAL,PALIKA PLAZA,,3.7,6,,,5
1,01,5,RAN,RANI PURA,,4.1,7,,,5
1,01,5,SAN,SANJAY SETU,,4.5,8,,,5
1,01,5,JAW,JAWAHAR MARG,,4.9,9,,,10
1,01,5,GAR,GURUDWARA,,5.1,10,,,10
1,01,5,HAR,HARSIDDHI,,5.5,11,,,10
1,01,5,COL,Collector Office,,6.3,12,,,10
1,01,5,GDC,GDC,,6.6,13,,,10
1,01,5,LAL,LAAL BAGH,,7.2,14,,,10
1,01,5,MHO,MHOW NAKA,,7.5,15,,,10
1,01,5,GAN,GANGWAL,,8.4,16,,,15
1,01,5,LAB,LABRIYA BHERU,,8.5,17,,,15
1,01,5,RAM,RAM KRISHN BAGH,,9.1,18,,,15
1,01,5,KIM,KIMTI GARDEN,,9.7,19,,,15
1,01,5,CHA,CHANDAN NAGAR,,10.2,20,,,15
1,01,6,PAL,PALIKA PLAZA,,3.7,6,,,0
1,01,6,RAN,RANI PURA,,4.1,7,,,5
1,01,6,SAN,SANJAY SETU,,4.5,8,,,5
1,01,6,JAW,JAWAHAR MARG,,4.9,9,,,5
1,01,6,GAR,GURUDWARA,,5.1,10,,,5
1,01,6,HAR,HARSIDDHI,,5.5,11,,,10
1,01,6,COL,Collector Office,,6.3,12,,,10
1,01,6,GDC,GDC,,6.6,13,,,10
1,01,6,LAL,LAAL BAGH,,7.2,14,,,10
1,01,6,MHO,MHOW NAKA,,7.5,15,,,10
1,01,6,GAN,GANGWAL,,8.4,16,,,10
1,01,6,LAB,LABRIYA BHERU,,8.5,17,,,10
1,01,6,RAM,RAM KRISHN BAGH,,9.1,18,,,15
1,01,6,KIM,KIMTI GARDEN,,9.7,19,,,15
1,01,6,CHA,CHANDAN NAGAR,,10.2,20,,,15
1,01,7,RAN,RANI PURA,,4.1,7,,,0
1,01,7,SAN,SANJAY SETU,,4.5,8,,,5
1,01,7,JAW,JAWAHAR MARG,,4.9,9,,,5
1,01,7,GAR,GURUDWARA,,5.1,10,,,5
1,01,7,HAR,HARSIDDHI,,5.5,11,,,5
1,01,7,COL,Collector Office,,6.3,12,,,10
1,01,7,GDC,GDC,,6.6,13,,,10
1,01,7,LAL,LAAL BAGH,,7.2,14,,,10
1,01,7,MHO,MHOW NAKA,,7.5,15,,,10
1,01,7,GAN,GANGWAL,,8.4,16,,,10
1,01,7,LAB,LABRIYA BHERU,,8.5,17,,,10
1,01,7,RAM,RAM KRISHN BAGH,,9.1,18,,,10
1,01,7,KIM,KIMTI GARDEN,,9.7,19,,,15
1,01,7,CHA,CHANDAN NAGAR,,10.2,20,,,15
1,01,8,SAN,SANJAY SETU,,4.5,8,,,0
1,01,8,JAW,JAWAHAR MARG,,4.9,9,,,5
1,01,8,GAR,GURUDWARA,,5.1,10,,,5
1,01,8,HAR,HARSIDDHI,,5.5,11,,,5
1,01,8,COL,Collector Office,,6.3,12,,,10
1,01,8,GDC,GDC,,6.6,13,,,10
1,01,8,LAL,LAAL BAGH,,7.2,14,,,10
1,01,8,MHO,MHOW NAKA,,7.5,15,,,10
1,01,8,GAN,GANGWAL,,8.4,16,,,10
1,01,8,LAB,LABRIYA BHERU,,8.5,17,,,10
1,01,8,RAM,RAM KRISHN BAGH,,9.1,18,,,10
1,01,8,KIM,KIMTI GARDEN,,9.7,19,,,15
1,01,8,CHA,CHANDAN NAGAR,,10.2,20,,,15
1,01,9,JAW,JAWAHAR MARG,,4.9,9,,,0
1,01,9,GAR,GURUDWARA,,5.1,10,,,5
1,01,9,HAR,HARSIDDHI,,5.5,11,,,5
1,01,9,COL,Collector Office,,6.3,12,,,5
1,01,9,GDC,GDC,,6.6,13,,,10
1,01,9,LAL,LAAL BAGH,,7.2,14,,,10
1,01,9,MHO,MHOW NAKA,,7.5,15,,,10
1,01,9,GAN,GANGWAL,,8.4,16,,,10
1,01,9,LAB,LABRIYA BHERU,,8.5,17,,,10
1,01,9,RAM,RAM KRISHN BAGH,,9.1,18,,,10
1,01,9,KIM,KIMTI GARDEN,,9.7,19,,,10
1,01,9,CHA,CHANDAN NAGAR,,10.2,20,,,15
1,01,10,GAR,GURUDWARA,,5.1,10,,,0
1,01,10,HAR,HARSIDDHI,,5.5,11,,,5
1,01,10,COL,Collector Office,,6.3,12,,,5
1,01,10,GDC,GDC,,6.6,13,,,5
